time_s,elapsed_us,pres_in,flow_in,flow_left,flow_right,pres_left,pres_right
27.516968,27516968,0.00450070,-0.16593757,-0.17078613,0.02966803,-0.00178329,-0.00327213
0.000060,60,-0.00363360,-0.16593757,-0.17078613,0.02966803,0.00633943,-0.00327213
27.514760,27514760,-0.00363360,0.07816723,0.07184513,0.02966803,-0.00178329,-0.00327213
27.516968,27516968,0.00450070,-0.16593757,-0.17078613,0.02966803,-0.00178329,-0.00327213
0.000004,4,-0.00363360,0.07816723,0.07184513,0.02966803,0.00633943,0.00486175
0.001836,1836,-0.00363360,-0.16593757,-0.17078613,-0.21301441,-0.00178329,-0.00327213
0.003752,3752,0.00450070,0.07816723,0.31447638,0.02966803,-0.00178329,-0.00327213
0.005664,5664,-0.00363360,-0.16593757,-0.17078613,0.02966803,-0.00178329,-0.00327213
0.007576,7576,-0.00363360,0.07816723,0.07184513,0.02966803,-0.00178329,0.00486175
0.009488,9488,-0.00363360,-0.16593757,0.07184513,-0.21301441,-0.00178329,0.00486175
0.011408,11408,0.00450070,-0.16593757,-0.17078613,0.02966803,-0.00178329,-0.00327213
0.013400,13400,-0.00363360,0.07816723,0.07184513,0.02966803,0.00633943,0.00486175
0.015400,15400,0.00450070,-0.16593757,-0.17078613,0.02966803,-0.00178329,-0.00327213
0.017376,17376,0.00450070,0.07816723,0.07184513,0.02966803,-0.00178329,-0.00327213
0.019360,19360,0.00450070,0.07816723,0.07184513,-0.21301441,-0.00178329,0.00486175
0.021344,21344,-0.00363360,0.07816723,0.07184513,0.02966803,-0.00178329,0.00486175
0.023328,23328,-0.00363360,-0.16593757,0.07184513,0.02966803,-0.00178329,-0.00327213
0.025312,25312,0.00450070,0.07816723,0.07184513,0.02966803,-0.00178329,-0.00327213
0.027296,27296,-0.00363360,-0.16593757,-0.17078613,0.02966803,-0.00178329,-0.00327213
0.029280,29280,0.00450070,-0.16593757,0.07184513,0.02966803,-0.00178329,-0.00327213
0.031264,31264,-0.00363360,-0.16593757,0.31447638,0.02966803,-0.00178329,-0.00327213
0.033248,33248,-0.00363360,0.07816723,0.31447638,0.02966803,-0.00178329,-0.00327213
0.035232,35232,-0.00363360,0.07816723,0.31447638,0.02966803,-0.00178329,-0.00327213
0.037216,37216,-0.00363360,0.07816723,0.31447638,0.02966803,0.00633943,-0.00327213
0.039200,39200,0.00450070,0.07816723,0.31447638,0.02966803,-0.00178329,-0.00327213
0.041192,41192,-0.00363360,0.07816723,-0.17078613,-0.21301441,-0.00178329,0.00486175
0.043184,43184,-0.00363360,0.07816723,0.07184513,0.02966803,-0.00178329,0.00486175
0.045176,45176,-0.00363360,0.07816723,0.07184513,0.02966803,-0.00178329,-0.00327213
0.047168,47168,0.00450070,0.07816723,0.07184513,0.02966803,0.00633943,-0.00327213
0.049168,49168,-0.00363360,0.07816723,-0.17078613,0.02966803,-0.00178329,-0.00327213
0.051144,51144,-0.00363360,0.07816723,0.07184513,0.02966803,-0.00178329,-0.00327213
0.053128,53128,-0.00363360,-0.16593757,-0.17078613,0.02966803,-0.00178329,-0.00327213
0.055112,55112,-0.00363360,0.07816723,-0.17078613,0.02966803,-0.00178329,0.00486175
0.057100,57100,-0.00363360,0.07816723,0.07184513,0.02966803,0.00633943,-0.00327213
0.059080,59080,-0.00363360,-0.16593757,0.07184513,0.02966803,-0.00178329,0.00486175
0.061064,61064,0.00450070,0.07816723,0.07184513,0.02966803,-0.00178329,0.00486175
0.063048,63048,-0.00363360,0.07816723,0.31447638,0.02966803,-0.00178329,-0.00327213
0.065032,65032,-0.00363360,0.07816723,0.31447638,0.02966803,-0.00178329,-0.00327213
0.067016,67016,-0.00363360,0.07816723,0.31447638,0.02966803,-0.00178329,-0.00327213
0.069000,69000,0.00450070,0.07816723,0.31447638,0.02966803,-0.00178329,0.00486175
0.070984,70984,0.00450070,0.07816723,0.07184513,0.02966803,-0.00178329,0.00486175
0.072976,72976,-0.00363360,0.07816723,-0.17078613,0.02966803,-0.00178329,0.00486175
0.074968,74968,-0.00363360,0.07816723,-0.17078613,0.02966803,-0.00178329,-0.00327213
